StartTime,EndTime,EpisodeId,EventId,State,EventType,InjuriesDirect,InjuriesIndirect,DeathsDirect,DeathsIndirect,DamageProperty,DamageCrops,Source,BeginLocation,EndLocation,BeginLat,BeginLon,EndLat,EndLon,EpisodeNarrative,EventNarrative,StormSummary
2007-03-31 03:45:00.0000000,2007-03-31 03:50:00.0000000,4032,22537,TEXAS,Tornado,4,0,0,0,75000,0,NWS Storm Survey,HALLETSVILLE,HALLETSVILLE,29.3887,-96.8796,29.3846,-96.8749,"In the early morning hours of March 31, both supercells and short bow echoes began to form along the north-south aligned cold front after it crossed the IH-35 corridor.  Moving into the eastern portion of South Central Texas, these storms produced heavy rainfall, large hail, and two tornadoes.","To the southeast of Hallettsville, and southeast of the first tornado, a second tornado touched down near 0345 CST.  This was just off FM530 on Road 16C, near the community of Light Chapel.  This tornado touched down just south of a mobile home and began moving toward the northeast.  A father, along with two sons and a daughter, had just arrived home less than an hour before the touchdown and had fallen asleep when the storm struck.  The father reported feeling a jolt that awakened him as severe thunderstorm winds ahead of the tornado struck the mobile home.  He reported that it became quiet again and then the mobile home exploded as the tornado stuck.  He and his three children were blown and tossed almost 150 feet, coming to rest on the top of the former south wall of his mobile home.  Broken glass was everywhere, but, in spite of cuts and bruises, they took shelter in a small nearby roofless shack as hail continued to fall.  He then walked, carrying an injured son and daughter, to a neighbor???s house to call for help.  His truck, parked under an awning just south of the mobile home was rolled and crushed.  Had he and his children arrived only a few minutes later at their home, they could easily have been killed.  That all have recovered except for minor bruises and cuts can only be considered a miracle.  The father???s comments were that it???s all okay ??? we???re okay.  What was destroyed is just ???stuff.???  Based on the destroyed mobile home, which had been tied down, and the rolled and twisted metal frame, the tornado was rated EF-2 on the Enhanced Fujita Scale.  Winds were estimated at 115 mph.  The tornado path length was placed at four-tenths of a mile with a path width of 75 yards.","{
  ""TotalDamages"": 75000,
  ""StartTime"": ""2007-03-31T03:45:00.0000000Z"",
  ""EndTime"": ""2007-03-31T03:50:00.0000000Z"",
  ""Details"": {
    ""Description"": ""To the southeast of Hallettsville, and southeast of the first tornado, a second tornado touched down near 0345 CST.  This was just off FM530 on Road 16C, near the community of Light Chapel.  This tornado touched down just south of a mobile home and began moving toward the northeast.  A father, along with two sons and a daughter, had just arrived home less than an hour before the touchdown and had fallen asleep when the storm struck.  The father reported feeling a jolt that awakened him as severe thunderstorm winds ahead of the tornado struck the mobile home.  He reported that it became quiet again and then the mobile home exploded as the tornado stuck.  He and his three children were blown and tossed almost 150 feet, coming to rest on the top of the former south wall of his mobile home.  Broken glass was everywhere, but, in spite of cuts and bruises, they took shelter in a small nearby roofless shack as hail continued to fall.  He then walked, carrying an injured son and daughter, to a neighbor???s house to call for help.  His truck, parked under an awning just south of the mobile home was rolled and crushed.  Had he and his children arrived only a few minutes later at their home, they could easily have been killed.  That all have recovered except for minor bruises and cuts can only be considered a miracle.  The father???s comments were that it???s all okay ??? we???re okay.  What was destroyed is just ???stuff.???  Based on the destroyed mobile home, which had been tied down, and the rolled and twisted metal frame, the tornado was rated EF-2 on the Enhanced Fujita Scale.  Winds were estimated at 115 mph.  The tornado path length was placed at four-tenths of a mile with a path width of 75 yards."",
    ""Location"": ""TEXAS""
  }
}"
2007-03-31 03:50:00.0000000,2007-03-31 04:20:00.0000000,4032,22538,TEXAS,Thunderstorm Wind,0,0,0,0,0,0,Emergency Manager,LA GRANGE,ROUND TOP,29.9511,-96.811,30.07,-96.53,"In the early morning hours of March 31, both supercells and short bow echoes began to form along the north-south aligned cold front after it crossed the IH-35 corridor.  Moving into the eastern portion of South Central Texas, these storms produced heavy rainfall, large hail, and two tornadoes.",Trees were blown down from just northeast of LaGrange to Round Top by high winds from thunderstorms.  The information was obtained from a damage survey conducted by a Texas DPS Regional Liaison Officer.,"{
  ""TotalDamages"": 0,
  ""StartTime"": ""2007-03-31T03:50:00.0000000Z"",
  ""EndTime"": ""2007-03-31T04:20:00.0000000Z"",
  ""Details"": {
    ""Description"": ""Trees were blown down from just northeast of LaGrange to Round Top by high winds from thunderstorms.  The information was obtained from a damage survey conducted by a Texas DPS Regional Liaison Officer."",
    ""Location"": ""TEXAS""
  }
}"
2007-03-31 04:00:00.0000000,2007-03-31 07:00:00.0000000,4032,22539,TEXAS,Flash Flood,0,0,0,0,0,0,Law Enforcement,MULDOON,WARRENTON,29.82,-97.07,30.02,-96.73,"In the early morning hours of March 31, both supercells and short bow echoes began to form along the north-south aligned cold front after it crossed the IH-35 corridor.  Moving into the eastern portion of South Central Texas, these storms produced heavy rainfall, large hail, and two tornadoes.",Thunderstorms stretching from northern Fayette County southward through Lavaca and DeWitt Counties produced widespread 1 to 2 inch rain totals as the moved eastward.  Highest totals in Fayette County were near 4 inches just west of LaGrange and near Warrenton.  Flash flooding closed FM609 and SH159.,"{
  ""TotalDamages"": 0,
  ""StartTime"": ""2007-03-31T04:00:00.0000000Z"",
  ""EndTime"": ""2007-03-31T07:00:00.0000000Z"",
  ""Details"": {
    ""Description"": ""Thunderstorms stretching from northern Fayette County southward through Lavaca and DeWitt Counties produced widespread 1 to 2 inch rain totals as the moved eastward.  Highest totals in Fayette County were near 4 inches just west of LaGrange and near Warrenton.  Flash flooding closed FM609 and SH159."",
    ""Location"": ""TEXAS""
  }
}"
2007-03-31 04:27:00.0000000,2007-03-31 04:28:00.0000000,2792,14651,TEXAS,Thunderstorm Wind,0,0,0,0,3000,0,Law Enforcement,ROCK IS,ROCK IS,29.53,-96.58,29.53,-96.58,A pre-frontal trough well ahead of a central Texas cold front slowed as it approached the coastal counties. This boundary became the focus for severe thunderstorms along the coast and neighboring inland counties.,A couple of mid-sized oak trees down.,"{
  ""TotalDamages"": 3000,
  ""StartTime"": ""2007-03-31T04:27:00.0000000Z"",
  ""EndTime"": ""2007-03-31T04:28:00.0000000Z"",
  ""Details"": {
    ""Description"": ""A couple of mid-sized oak trees down."",
    ""Location"": ""TEXAS""
  }
}"
2007-03-31 04:30:00.0000000,2007-03-31 07:00:00.0000000,4032,22541,TEXAS,Flash Flood,0,0,0,0,0,0,Emergency Manager,CUERO,HOCKHEIM,29.2446,-97.28,29.32,-97.3,"In the early morning hours of March 31, both supercells and short bow echoes began to form along the north-south aligned cold front after it crossed the IH-35 corridor.  Moving into the eastern portion of South Central Texas, these storms produced heavy rainfall, large hail, and two tornadoes.",Thunderstorms stretching from northern Fayette County southward through Lavaca and DeWitt Counties produced widespread 1 to 2 inch rain totals as the moved eastward.  Highest totals in DeWitt County were near 4 inches just south of Hochheim. Flash flooding closed SH111 through the early morning.,"{
  ""TotalDamages"": 0,
  ""StartTime"": ""2007-03-31T04:30:00.0000000Z"",
  ""EndTime"": ""2007-03-31T07:00:00.0000000Z"",
  ""Details"": {
    ""Description"": ""Thunderstorms stretching from northern Fayette County southward through Lavaca and DeWitt Counties produced widespread 1 to 2 inch rain totals as the moved eastward.  Highest totals in DeWitt County were near 4 inches just south of Hochheim. Flash flooding closed SH111 through the early morning."",
    ""Location"": ""TEXAS""
  }
}"
2007-03-31 04:45:00.0000000,2007-03-31 04:45:00.0000000,4272,23958,TEXAS,Thunderstorm Wind,0,0,0,0,0,0,Newspaper,VICTORIA,VICTORIA,28.8289,-96.98,28.8289,-96.98,"Thunderstorms with very heavy rainfall trained southwest to northeast across the central sections of Goliad and Victoria counties.  A band of 3 to 6 inches of rain fell over a 3 hour period from southwest Goliad to northeast Victoria county, resulting in flash flooding.  3.22 of rain fell at the Victoria Regional Airport establishing a new daily rainfall record for this date.",Straight line winds broke several large tree limbs across the north side of Victoria.  A few fences were also blown over.,"{
  ""TotalDamages"": 0,
  ""StartTime"": ""2007-03-31T04:45:00.0000000Z"",
  ""EndTime"": ""2007-03-31T04:45:00.0000000Z"",
  ""Details"": {
    ""Description"": ""Straight line winds broke several large tree limbs across the north side of Victoria.  A few fences were also blown over."",
    ""Location"": ""TEXAS""
  }
}"
2007-03-31 04:45:00.0000000,2007-03-31 04:46:00.0000000,2792,14652,TEXAS,Hail,0,0,0,0,1000,0,Emergency Manager,EGYPT,EGYPT,29.4,-96.25,29.4,-96.25,A pre-frontal trough well ahead of a central Texas cold front slowed as it approached the coastal counties. This boundary became the focus for severe thunderstorms along the coast and neighboring inland counties.,Nickel-size hail.,"{
  ""TotalDamages"": 1000,
  ""StartTime"": ""2007-03-31T04:45:00.0000000Z"",
  ""EndTime"": ""2007-03-31T04:46:00.0000000Z"",
  ""Details"": {
    ""Description"": ""Nickel-size hail."",
    ""Location"": ""TEXAS""
  }
}"
2007-03-31 05:00:00.0000000,2007-03-31 08:00:00.0000000,4032,22542,TEXAS,Flash Flood,0,0,0,0,0,0,NWS Storm Survey,YOAKUM,SPEAKS,29.3,-97.15,29.25,-96.72,"In the early morning hours of March 31, both supercells and short bow echoes began to form along the north-south aligned cold front after it crossed the IH-35 corridor.  Moving into the eastern portion of South Central Texas, these storms produced heavy rainfall, large hail, and two tornadoes.",Thunderstorms stretching from northern Fayette County southward through Lavaca and DeWitt Counties produced widespread 1 to 2 inch rain totals as the moved eastward.  Highest totals in Lavaca County were near 5 inches just east of Sweet Home along US77.  Flash flooding closed FM531 through the early morning period.,"{
  ""TotalDamages"": 0,
  ""StartTime"": ""2007-03-31T05:00:00.0000000Z"",
  ""EndTime"": ""2007-03-31T08:00:00.0000000Z"",
  ""Details"": {
    ""Description"": ""Thunderstorms stretching from northern Fayette County southward through Lavaca and DeWitt Counties produced widespread 1 to 2 inch rain totals as the moved eastward.  Highest totals in Lavaca County were near 5 inches just east of Sweet Home along US77.  Flash flooding closed FM531 through the early morning period."",
    ""Location"": ""TEXAS""
  }
}"
2007-03-31 05:04:00.0000000,2007-03-31 05:05:00.0000000,2792,14653,TEXAS,Hail,0,0,0,0,1000,0,Emergency Manager,WHARTON,WHARTON,29.32,-96.1,29.32,-96.1,A pre-frontal trough well ahead of a central Texas cold front slowed as it approached the coastal counties. This boundary became the focus for severe thunderstorms along the coast and neighboring inland counties.,Nickel-size hail.,"{
  ""TotalDamages"": 1000,
  ""StartTime"": ""2007-03-31T05:04:00.0000000Z"",
  ""EndTime"": ""2007-03-31T05:05:00.0000000Z"",
  ""Details"": {
    ""Description"": ""Nickel-size hail."",
    ""Location"": ""TEXAS""
  }
}"
2007-03-31 05:05:00.0000000,2007-03-31 05:05:00.0000000,2792,18465,TEXAS,Thunderstorm Wind,0,0,0,0,5000,0,Newspaper,WHARTON,WHARTON,29.3089,-96.0694,29.3089,-96.0694,A pre-frontal trough well ahead of a central Texas cold front slowed as it approached the coastal counties. This boundary became the focus for severe thunderstorms along the coast and neighboring inland counties.,Tree down on a home.,"{
  ""TotalDamages"": 5000,
  ""StartTime"": ""2007-03-31T05:05:00.0000000Z"",
  ""EndTime"": ""2007-03-31T05:05:00.0000000Z"",
  ""Details"": {
    ""Description"": ""Tree down on a home."",
    ""Location"": ""TEXAS""
  }
}"
